S,V
0.091,0.064574
0.09,0.063936
0.089,0.063296
0.088,0.062655
0.087,0.062013
0.086,0.061369
0.085,0.060724
0.084,0.060078
0.083,0.05943
0.082,0.05878
0.081,0.058129
0.08,0.057477
0.079,0.056823
0.078,0.056168
0.077,0.055511
0.076,0.054853
0.075,0.054194
0.074,0.053533
0.073,0.05287
0.072,0.052206
0.071,0.05154
0.07,0.050873
0.069,0.050205
0.068,0.049535
0.067,0.048863
0.066,0.04819
0.065,0.047516
0.064,0.046839
0.063,0.046162
0.062,0.045482
0.061,0.044802
0.06,0.044119
0.059,0.043435
0.058,0.04275
0.057,0.042062
0.056,0.041374
0.055,0.040683
0.054,0.039991
0.053,0.039298
0.052,0.038602
0.051,0.037906
0.05,0.037207
0.049,0.036507
0.048,0.035805
0.047,0.035102
0.046,0.034396
0.045,0.03369
0.044,0.032981
0.043,0.032271
0.042,0.031559
0.041,0.030845
0.04,0.03013
0.039,0.029413
0.038,0.028694
0.037,0.027973
0.036,0.027251
0.035,0.026527
0.034,0.025801
0.033,0.025073
0.032,0.024344
0.031,0.023613
0.03,0.02288
0.029,0.022145
0.028,0.021408
0.027,0.02067
0.026,0.019929
0.025,0.019187
0.024,0.018443
0.023,0.017697
0.022,0.016949
0.021,0.016199
0.02,0.015448
0.019,0.014694
0.018,0.013939
0.017,0.013181
0.016,0.012422
0.015,0.01166
0.014,0.010897
0.013,0.010132
0.012,0.0093648
0.011,0.0085956
0.01,0.0078244
0.009,0.0070512
0.008,0.006276
0.007,0.0054987
0.006,0.0047194
0.005,0.003938
0.004,0.0031546
0.003,0.0023691
0.002,0.0015815
0.001,0.0007918
